Country Region,EC financing,Title,Action location,Organisation,Total cost in Euro,Contract Nr,Theme,DAC code,Duration,Organisation nationality,Amount in Euro
Germany,"
						
						    85 %
					",''Cambodian Highland Food Security'',"North eastern Provinces, Ratanakiri Province, Kone Morm District. Target groups are  2,733 families (12,324 persons) / (6,114 women) comprising the population of 25 villages in 6 communes of Kone Morm District of Ratanakiri province will benefit from the  CHIFS Project components. Within this segment, the project will more specifically identify and target the estimated 70 % families (1,900 families) that include the poorest and most vulnerable through vulnerability assessments. ",CARE DEUTSCHLAND-LUXEMBURG EV,"
						      587,877
					",139621,Food aid/Food security programmes,52010,30 months,Cambodia ,"
						      499,695
					"
Germany,"
						
						    75 %
					","''OUR KNOWLEDGE IS OURS'' - Awareness Raising within the EU: Patents on indigenous knowledge and on specific plant characteristics. How is their impact on traditional farming systems and rural communities in the South?


","Locations: Germany (rural areas), Belgium (focusing on the Flamish part), France (focusing on the 5 departmental federations). Target groups: members of the rural movements and the surrounging population, multipliers within the rural movements, decision makers on regional, national and European level. ",INTERNATIONALER LANDVOLKDIENST DERKATHOLISCHEN LANDVOLKBEWEGUNG,"
						      499,887
					",136341,Promotion of development awareness,99820,36 months,EU Europe ,"
						      374,915
					"
Germany,"
						
						    78 %
					","''Projet d¿appui à la sécurité alimentaire dans la commune de BUGABIRA (province de KIRUNDO au Burundi) """,Province of Kirundo,DEUTSCHE WELTHUNGERHILFE EV,"
						      616,605
					",142670,Food aid/Food security programmes,52010,18 months,Burundi,"
						      480,952
					"
Germany,"
						
						    75 %
					",''Reproductive health matters''- An advocacy and awareness raising campaign to promote universal access to sexual and reproductive health as a key target to reaching the Millennium Development Goals,"Locations: Austria, Germany, Poland, Spain,  The Netherlands.
Target groups: - direct: opinion formers (500 journalists), political decision makers (200 MPs and MEPs), 100 government officials, civil society actors (100 NGOs working on development issues), multipliers (5000 teachers of secondary schools.
                           - indirect: general public (over 20 million citizens)",DEUTSCHE STIFTUNG WELTBEVOLKERUNG (DSW),"
						      864,955
					",136666,Promotion of development awareness,99820,36 months,EU Europe ,"
						      648,716
					"
Germany,"
						
						    85 %
					","''Sustainable Food Security for Poor Families in Htan Tabin Township, Yangon Division, Burma / Myanmar''","Yangon Division, Htan Tabin Township, 18 Villages in 5 Village Tracts 
Target groups are:
- Poor families in targeted 18 villages (ca. 10,000 people)
- Health workers & women benefiting from nutrition education also in neighbouring villages of Southern Htan Tabin (Tet Thit)
- Local community structures and local Government agencies
",DEUTSCHE WELTHUNGERHILFE EV,"
						      783,530
					",137854,Food aid/Food security programmes,52010,33 months,Myanmar,"
						      666,000
					"
Germany,"
						
						    75 %
					","''Un mode de vie durable pour les populations de la
Réserve Spéciale Dzanga Sangha en République
Centrafricaine''
","République Centrafricaine (RCA), Réserve Spéciale Dzanga-Sangha, Bayanga

",UMWELTSTIFTUNG WWF DEUTSCHLAND - STIFTUNG FUR DEN SCHUTZ DER BIOLOGISCHEN VIELFALT UND DER NATURLICHEN UNWELT,"
						     1,040,520
					",135572,Human rights,15160,36 months,Central African Republic,"
						      780,390
					"
Germany,"
						
						    90 %
					",Access to Sexual and Reproductive Health (SRH) Care for Uprooted People and Roma Women and Youth in Southern Serbia ,"- Action located in 3 municipalities from South Serbia: Vranje, Leskovac and Bujanovac. 
- Action targeted at Romani and uprooted women and youth + health care providers based in primary health centers + institutes of Public health in those 3 municipalities.",CARE DEUTSCHLAND-LUXEMBURG EV,"
						     1,111,123
					",127366,Reproductive health care,13020,36 months,Serbia,"
						     1,000,000
					"
Germany,"
						
						    75 %
					",Addressing Sexual and Reproductive Health among Female Youth Working in Informal Sector,"poor and vulnerable female youth working in the informal sector

Tanzania, Arusha, Kilimanjaro and Tanga Region",DEUTSCHE STIFTUNG WELTBEVOLKERUNG (DSW),"
						      973,324
					",133818,STD control including HIV/AIDS,13040,48 months,Tanzania,"
						      729,993
					"
Germany,"
						
						    80 %
					",Akniyet- from exclusion to inclusion,"Kazakhstan: Almaty, Shymkent, Lepsy (Almaty oblast, South Kazkahstan oblast). Target group are the disadvantaged women in Almaty and South Kazakhstan Oblast. final beneficiaries are NGOs, women attending the courses and their children, local authorities.  ","INTERNATIONALER BUND (IB) FREIER TRAGER DER JUGEND-, SOZIAL- UND BILDUNGSARBEIT EV","
						      249,987
					",141525,Vocational training,11330,24 months,Kazakhstan,"
						      199,990
					"
Germany,"
						
						    75 %
					",Asia Invest Matchmaking Medical Devices EU-Asia,"German-Thai Chamber of Commerce, Thailand; Thai Medical Device Technology Industry Association, Thailand; China Association for Medical Devices Industry, China; Sheffield Chamber of Commerce and Industry Limited, UK; Chambers of Commerce of Ireland, Ireland; Consorzio Italasia Industrial Relations, Italy; Chamber of Commerce and Industry of Slovenia, Slovenia; Ogolnopolska Izba Gospodarcza Wyrobow Medycznych POLMED, Poland
","SPECTARIS DEUTSCHER INDUSTRIEVERBAND FUR OPTISCHE, MEDIZINISCHE UND MECHATRONISCHE TECHNOLOGIEN EV","
						      328,133
					",140617,Business support services and institutions,25010,12 months,Asia,"
						      246,099
					"
Germany,"
						
						    38 %
					",BEN: PROGRAMME D ELECTRIFICATION RURALE PAR RESEAU SBEE,LE PROJET SERA MIS EN OEUVRE DANS 59 LOCALITES EN MILIEU RURAL DANS 9 DES,DEUTSCHE GESELLSCHAFT FUR TECHN. ZUSAMM. (GTZ),"
						
					",9ACP RPR49 14,Energy policy and administrative management,23010,34 months, ACP Countries,"
						     7,700,000
					"
Germany,"
						
						    90 %
					",BSR IIIB EastWind - Establishing wind energy use in the RF,"Kaliningrad, Pskov
Target group: administration",HANSESTADT ROSTOCK,"
						      285,000
					",132854,Power generation/renewable sources ,23030,24 months,Russia ,"
						      256,500
					"
Germany,"
						
						    75 %
					",BSR IIIB Sustainable energy management on municipal level,"Kaliningrad region
Target group: administrations",BUNDESREPUBLIK DEUTSCHLAND,"
						      592,055
					",132840,Energy policy and administrative management,23010,24 months,Russia ,"
						      444,041
					"
Germany,"
						
						    75 %
					",Building Capacities for a Sustainable Access to Potable Water,Western Division of The Gambia,CCF KINDERHILFSWERK EV,"
						      567,902
					",134726,Basic drinking water supply and basic sanitation,14030,36 months,Gambia,"
						      425,926
					"
Germany,"
						
						    75 %
					","Campaign for sustainable purchasing of computers: 
Making public purchasing in Europe work for development by raising awareness ot the working conditions and environmental issues in the global supply chain of computers.","Location: Germany, Austria, Czech Republic, NL, Poland, Spain, Hungary. Target groups: management of companies, institutional and political decision makers, purchasers, students, university staff and public servants, multiplier actors and media, broader public. Final beneficiaries: workers in the computer sector and their families in developing countries. ","WELTWIRTSCHAFT, OKOLOGIE & ENTWICKLUNG - WEED EV","
						     1,384,446
					",136143,Promotion of development awareness,99820,36 months,EU Europe ,"
						     1,038,335
					"
Germany,"
						
						    75 %
					","Capacity building as a tool for more effective poverty allevation of marginalized rural women in Zimbabwe
","Midlands, Matabeleland",KONRAD-ADENAUER-STIFTUNG EV,"
						      852,619
					",135332,Democratic participation and civil society,15150,36 months,Zimbabwe,"
						      639,464
					"
Germany,"
						
						    75 %
					","Capacity building of local government in combating poverty
","Gauteng, Western Province, KZN, Free State and Limpopo Provinces",FRIEDRICH-NAUMANN-STIFTUNG FUR DIEFREIHEIT,"
						      597,358
					",135367,Public sector policy and administrative management,15110,36 months,South Africa,"
						      446,000
					"
Germany,"
						
						    89 %
					",Care and social justice for vulnerable in Khatlon,"Tajikistan, Khatlon Oblast: Kurgan-Tube, Sarband, Vakhsh, Bokhtar",DEUTSCHER CARITASVERBAND EV,"
						      751,548
					",144916,Social/ welfare services,16010,24 months,Tajikistan,"
						      668,800
					"
Germany,"
						
						    65 %
					","Changing Lives, Changing Communities!
Comprehensive Community Based Rehabilitation for People with Disabilities in Tanzania","people with disabilities and HIV/AIDS, with strong focus on women and children

Tanzania, Peri-urban areas of Dar es Salaam, Pwani, Morogoro, Tanga Districts and the island of Zanzibar and Pemba",CHRISTOFFEL-BLINDENMISSION DEUTSCHLAND EV,"
						     2,299,939
					",133992,Basic life skills for youth and adults ,11230,48 months,Tanzania,"
						     1,500,000
					"
Germany,"
						
						    75 %
					","Community Based Development Programme in the Palestine Territories for the Palestinian Population  
",75 targeted communities of  the West bank and Gaza strip,DEUTSCHES ROTES KREUZ EV,"
						     1,312,877
					",134646,Basic health care,12220,36 months,West Bank and Gaza Strip,"
						      984,657
					"
Germany,"
						
						    89 %
					",Community based income generation and social assistance project,"Kyrgyz Republic, Osh region",DEUTSCHE WELTHUNGERHILFE EV,"
						      573,220
					",133326,Agricultural development,31120,22 months,Kyrgyzstan,"
						      510,000
					"
Germany,"
						
						    75 %
					","Community empowerment and strengthening of advocacy groups for disadvantaged people in Deoghar District, Jharkhand - India","Deoghar District, Jharkhand, India",DEUTSCHE WELTHUNGERHILFE EV,"
						      323,000
					",144930,Rural development,43040,48 months,India,"
						      242,250
					"
Germany,"
						
						    80 %
					",Création d¿un environnement favorable permettant de profiter des effets positifs de la migration pour le développement économique de la région de l¿Oriental du Maroc. ,Maroc,DEUTSCHE GESELLSCHAFT FUR TECHNISCHE ZUSAMMENARBEIT (GTZ) GMBH,"
						     1,499,417
					",129840,Human rights,15160,36 months,Morocco,"
						     1,199,534
					"
Germany,"
						
						    84 %
					",DED (DEUTSCHER ENTWICKLUNGSDIENST GMBH) - IMPROVING COPING,NOTHERN UGANDA,DEUTSCHER ENTWICKLUNGSDIENST GMBH,"
						
					",9ACP UG16 11,,16340,18 months, Uganda,"
						      910,000
					"
Germany,"
						
						    75 %
					",Desarrollo Agropecuario Sostenible para el Desarrollo Económico Local en Tierras Bajas de Bolivia,"Bolivia, Departamento Tarija, Provincia Gran Chaco, Municipios: Caraparí, Yacuiba, Villamontes. Departamento Santa Cruz. Provincia Velasco, Municipios San Ignacio, San Miguel, San Rafael.
Target Group: 2315 farmers families, 50 local government authorities, 60 technicians, 762 members of local organisations and local structures. ",DEUTSCHE WELTHUNGERHILFE EV,"
						      728,892
					",134201,Rural development,43040,36 months,Bolivia,"
						      546,668
					"
Germany,"
						
						    75 %
					","Dry toilets - an alternative sanitation solution for squatter areas in an arid country - Namibia
","Otjiwarongo, Namibia",SOLIDARITATSDIENST INTERNATIONAL EV(SODI),"
						      532,032
					",135390,Basic drinking water supply and basic sanitation,14030,36 months,Namibia,"
						      399,024
					"
Germany,"
						
						    90 %
					",EDUCACION EN EL RIESGO DE LA POBLACION VULNERABLE Y ATENCIO A LAS VICTIMAS DE MAP Y MUSE EN EL SUR DE COLOMBIA,"VISTAHERMOSA (META), PUERTO RICO (META), MESETAS (META), LA MACARENA (META), SAN JUAN DE ARAMA (META), LA URIBE (META), PUERTO GAITAN (META), SAN VICENTE DEL CAGUAN (CAQUETA), LA MONTANITA (CAQUETA), FLORENCIA (CAQUETA), CARTAGENA DEL CHAIRA (CAQUETA), PUERTO RICO (CAQUETA), EL TAMBO (CAUCA), TORIBIO (CAUCA), SANTA ROSA (CAUCA), PATIA (EL BORDO) (CAUCA), PUERTO ASIS (PUTUMAYO), ORITO (PUTUMAYO), VALLE DEL GUAMUEZ (LA HORMIGA) (PUTUMAYO), PUERTO CAICEDO (PUTUMAYO), SAN MIGUEL (PUTUMAYO), TUMACO (NARIÑO), BARBACOAS (NARIÑO), SAMANIEGO (NARIÑO), LOS ANDES (NARIÑO)",DEUTSCHER CARITASVERBAND EV,"
						      750,000
					",143289,Land mine clearance,15250,24 months,Colombia,"
						      675,000
					"
Germany,"
						
						    75 %
					",EMPASIA - EMPowering ASIAn Business Intermediaries through Knowledge-based Networking focused on Sustainability Management,"Location: Thailand and Vietnam

Target group: Asian business intermediaries (primarily) and Asian SMEs (secondarily) in target countries: ",FRAUNHOFER GESELLSCHAFT ZUR FORDERUNG DER ANGEWANDTEN FORSCHUNG EV,"
						      751,262
					",139447,Business support services and institutions,25010,24 months,Asia,"
						      563,446
					"
Germany,"
						
						    75 %
					",EU und China: zivilgesellschaftliche Partnerschaft für soziale und ökolo-gische Gerechtigkeit,"Locations: Allemagne, Autriche, mais aussi: Pays-Bas, Belgique, France, Chine.
Groupes-cibles: Multiplicateurs et organisations actifs dans  le domaine ""environnement et développement"",groupe de l'univers syndical ou confessionnel, journalistes, membres dirigeants d'entreprises actives en Chine, décideurs politiques dans l'UE; grand public.",ASIEN-STIFTUNG,"
						      923,966
					",136588,Promotion of development awareness,99820,36 months,EU Europe ,"
						      692,974
					"
Germany,"
						
						   100 %
					",Empowering Returnees and Their Vulnerable Communities in Southern Sudan Through Improved Agricultural Methods,"South Sudan,   Upper Nile State, Counties of: Maiwut, Maban, Ulang, Nasser, Longochok ",ADRA DEUTSCHLAND E.V,"
						     1,096,664
					",146758,Food aid/Food security programmes,52010,24 months,Sudan,"
						     1,096,664
					"
Germany,"
						
						    75 %
					",Empresa social de vivienda popular con producción limpia y capacitación formal en Nicaragua,Departamento Jinotega,WERKHOF E.V.,"
						      526,042
					",133669,Low-cost housing,16040,60 months,Nicaragua,"
						      394,531
					"
Germany,"
						
						    75 %
					","EnergyBridges
Sustainable energy for poverty reduction 
","Key multipliers like political decision makers on a local, national and European level, further NGOs and teachers/educators in DE, Lux, HU and CZ",KLIMA-BUNDNIS DER EUROPAISCHEN STADTE MIT INDIGENEN VOLKERN DER REGENWALDER / ALIANZA DEL CLIMA EV,"
						      573,300
					",135847,Promotion of development awareness,99820,36 months,EU Europe ,"
						      429,975
					"
Germany,"
						
						    58 %
					",Europe-China School of Law,"The project involves the following target groups:

Chinese and international students having obtained a first university degree;

Members of all Chinese legal professions, esp. judges, prosecutors and lawyers;

International research groups comprised of Chinese, European and international academics;

Members of Chinese, European and international government departments, law firms, companies as well as international organisations which provide specialised Consultancy Activities.

The location of the project activities is: China, Beijing City.


",UNIVERSITAT HAMBURG,"
						    30,435,479
					",146573,Legal and judicial development,15130,60 months,China,"
						    17,512,575
					"
Germany,"
						
						    75 %
					","Expansion of Coordinated Response to Sexual and Gender-Based Violence in Zambia.
","Lusaka, Chipata and Kitwe (Zambia)",CARE DEUTSCHLAND-LUXEMBURG EV,"
						     1,000,000
					",135414,Social/ welfare services,16010,24 months,All Countries,"
						      750,000
					"
Germany,"
						
						    75 %
					",FINANCIAL INCLUSION OF POOR FEMALE ENTREPRENEURS IN GHANA,"1,060 small and medium enterpreneurs, mainly women in:
a) Central Region: Kasoa; and
b) Western Region: Tarkwa & Prestea",OPPORTUNITY INTERNATIONAL DEUTSCHLAND STIFTUNG,"
						      458,118
					",135265,Informal/semi-formal financial intermediaries,24040,24 months,Ghana,"
						      343,588
					"
Germany,"
						
						     0 %
					",FRANZ-FABIAN BELLOT - T.A. ON EC GEOGRAPHICAL INFORMATION,KHARTOUM,BELLOT FRANZ FABIAN,"
						
					",9ACP SU8 30,,15010,2 months, Sudan,"
						        4,998
					"
Germany,"
						
						    75 %
					",Facilitando equidad de oportunidades e inclusión de niños/as con discapacidad en Nicaragua,Nicaragua Centromérica,EIRENE INTERNATIONALER CHRISTLICHER FRIEDENSDIENST EV,"
						      632,252
					",133680,Health education,12261,42 months,Nicaragua,"
						      474,189
					"
Germany,"
						
						    75 %
					",Facilitating Environmental Management and Investment by Polluting Industry in Thailand (FEMIPI),"Target group: Thai SMEs
Location: Thailand",INSTITUT FUR UMWELTTECHNIK UND MANAGEMENT AN DER UNIVERSITAT WITTEN/HERDECKE GGMBH,"
						      399,437
					",133524,,88020,24 months,Asia,"
						      299,578
					"
Germany,"
						
						    75 %
					","Fibre, food and beauty for poverty reduction- make it move","Locations: Germany, Unity Kingdom, Italy and France.
Target groups: Businesses in the organic sector, including clothing, food, cosmetics, health and beauty (more than 20.000 directly); donor organisations (20) and NGO supportive of organic cotton; consumers (more than 400.000)",PESTIZID AKTIONS-NETZWERK EV,"
						      471,434
					",136343,Promotion of development awareness,99820,36 months,EU Europe ,"
						      353,575
					"
Germany,"
						
						   100 %
					","Food Security and Livelihood Improvement Project for Returnees, IDPs and Local Communities Affected by the North/South Conflict in Shilluk Kingdom, Upper Nile State, Southern Sudan.","Western Upper Nile: Shilluk Kingdom, which now consists of four counties: Panyikango, Fashoda, Makal ,Manyo ",TIERARZTE OHNE GRENZEN,"
						      900,000
					",146833,Food aid/Food security programmes,52010,36 months,Sudan,"
						      900,000
					"
Germany,"
						
						    80 %
					","GESTIÓN AMBIENTAL PARA LA RECUPERACIÓN DE TIERRAS, EN ZONAS DESERTIFICADAS DEL MUNICIPIO DE VILLAZON ¿ DEPARTAMENTO DE POTOSÍ
","Bolivia, Departments of Potosi, Municipality of Villazón.
Target Group: 1383 famer families, 90 authorities and leaders. 830 students and teachers of 24 schools, 1000 producers/famers and 200 leaders of women organizations.",DEUTSCHE WELTHUNGERHILFE EV,"
						     1,063,500
					",143076,Environmental education/ training,41081,60 months,Bolivia,"
						      851,000
					"
Germany,"
						
						    70 %
					",Grassroot Housing Policy - Improved Local Governance in Housing Policy by Promoting Dialogue between Civil Society and Local Authorities ,St.Petersburg,INITIATIVE WOHNUNGSWIRTSCHAFT OSTEUROPA E V,"
						      427,396
					",123728,Housing policy and administrative management,16030,24 months,Russia ,"
						      299,177
					"
Germany,"
						
						    80 %
					",IBPP Culture: Art on site,"RF: St.Petersbourg, Kaliningrad, Nizny Novgorod, Yekaterinburg

Target group(s)	-	Curators, artists, cultural managers, PR managers for cultural projects, exhibition architects (Russia);
-	Artists, curators (Germany);
-	Students (Russia, Germany); 
-	Art and general public (Russia, Germany)

Final beneficiaries	Modern art scene in Russia (e.g. museums, curators, artists)
Cultural management in Russia
Institutions/people involved in Russian-German cultural exchange
",GOETHE-INSTITUT EV,"
						      180,000
					",138617,Culture and recreation,16061,19 months,Russia ,"
						      144,000
					"
Germany,"
						
						    50 %
					",IBPP Culture: The Light that Shines in the Darkness - a contemporary approach to Leo Tolstoy to enhance the cultural dialogue within the framework of the cooperation project between Yasnaya Polyana and Stiftung Schloss Neuhardenberg,"RF: Yasnaya Polyana (Tula region)
Germany: Neuhardenberg

Target groups are all staff and colleagues at the Lev Tolstoy Museum in Yasnaya Polyana, who are directly involved in the collaborative project or event management. Further beneficiaries are the artists and technical specialists (stage designers, technicians) involved in the project itself; cultural workers and Tolstoy experts.

The final beneficiaries are all those involved in theatre and cultural work in Moscow and the region of Tula, the theatre-going and culturally interested public in central Russia, cultural managers and administrators, political representatives and relevant players in the field of cultural tourism in the Russian Federation.
",STIFTUNG SCHLOSS NEUHARDENBERG GMBH,"
						      600,000
					",138594,Culture and recreation,16061,24 months,Russia ,"
						      300,000
					"
Germany,"
						
						    80 %
					",IBPP- Strengthening the institutional capacities of the Almaty Chamber of Commerce as a service and representation organisation of the small business sector in Kazakhstan,"The action will take place in Kazakhstan, in the city of Almaty and Almaty region (oblast). The target group are staff and board members of the Kazakh partner ACC (Almaty Chamber of Crafts), trainers of the the state TVET -centres as associated partners. The final beneficiaries are the participants of the 4 model training courses to be carried out within the project in automotive and construction sectors. ",SEQUA GGMBH,"
						      249,777
					",130669,Small and medium-sized enterprises (SME) development,32130,27 months,Kazakhstan,"
						      199,821
					"
Germany,"
						
						    75 %
					","Improving Living Conditions and Strengthening of Social Stability and Decentralization in Rural Communities of Former Civil War Areas in Southern Sierra Leone
","This Action targets hectares of Agricultural land and naturals resources, Women andhouseholds in the Bagbe and Komboya chiefdoms in Bo District in Sierra Leone",DEUTSCHE WELTHUNGERHILFE EV,"
						     1,000,000
					",135171,Rural development,43040,36 months,Sierra Leone,"
						      750,000
					"
Germany,"
						
						    75 %
					",Improving the quality of life of vulnerable target groups in the Eastern Region of Nepal by improving eye care and sight restoration,"Nepal, all three zones of the Eastern Region; Biratnagar, Lahan.
Target group :1-1.1 mill. outpatients treated plus 200-275,000 blind people having their sight restored (including patients from nearby India), plus their so-far affected family members and care-givers",CHRISTOFFEL-BLINDENMISSION DEUTSCHLAND EV,"
						     1,992,000
					",133557,Basic health infrastructure,12230,48 months,Nepal,"
						     1,494,000
					"
Germany,"
						
						    75 %
					","Inclusão Digital para o Combate à Pobreza. Promoção do Desenvolvimento Comunitário sócio-econômico e sustentável através da implementação de Telecentros Comunitários  em comunidades ribeirinhas da Amazônia, Brasil
","West of State of Para, river communities in the interior of municipalities of  Aveiro, Santarem and Belterra, by the side of the Amazonas, Tapajós e Arapiuns rivers, Amazon region, Brazil",LATEIN-AMERIKA-ZENTRUM,"
						      362,367
					",134057,Multisector aid for basic social services ,16050,24 months,All Countries,"
						      270,850
					"
Germany,"
						
						   100 %
					","Integrated Food Security Project for Relocated Families from Former Poppy Growing Areas, Man Man Hsain Township, Wa Special Region No. 2, Northern Shan State, Burma/ Myanmar ","Wein Kao District, Man Man Hsain Township, Wa Special region 2, Shan State
Target groups are Approximate 1.000 households in 20 villages in Northern Shan State, Wa Special Region No. 2, Wein Kao District, Man Man Hsain Township
Final beneficiaries are populations whose livelihoods are uprooted and are made vulnerable by the forced relocation and opium eradication policy, including their local structures
",DEUTSCHE WELTHUNGERHILFE EV,"
						      999,000
					",141811,Aid to refugees (in recipient country),72030,36 months,Myanmar,"
						      999,000
					"
Germany,"
						
						    90 %
					",Integrated natural resource management,"Tajikistan, Khatlon Province, Districts of Baljuvon, Temurmalik and Khovaling",DEUTSCHE WELTHUNGERHILFE EV,"
						      649,505
					",144912,Rural development,43040,24 months,Tajikistan,"
						      584,554
					"
Germany,"
						
						    75 %
					",Integrated waste management modules for different courses of graduate studies (INVENT),"Technical University of Dresden, Germany 
Leipzig Graduate School of Management, Leipzig, Germany
Cardiff University, United Kingdom
King Mongkut¿s University of Technology Thonburi, Bangkok, Thailand
Cantho University, Vietnam
Hanoi University of Science, Hanoi, Vietnam
Royal University of Agriculture, Phnom Penh, Cambodia
The National University of Laos, Vientiane, Lao PDR
",BREMEN UNIVERSITY OF APPLIED SCIENCES,"
						      563,331
					",141284,Higher education,11420,18 months,Asia,"
						      422,498
					"
Germany,"
						
						    80 %
					",Kazakhstan Advocacy and Legal Advice Centre (K-ALAC),"Kazakhstan, the project is implemented in Almaty as a main office but  the one more ALAC (Advocacy and Legal Advice Center) office to be opened in Astana. Target group are victims and witnesses of corruption, public institutions, the media and civil society in Kazakhstan. Final beneficiarie are citizens of Kazkahstan (including both marginalized groups as well as more educated and empowered people.   ",TRANSPARENCY INTERNATIONAL EV,"
						      244,977
					",141893,Democratic participation and civil society,15150,20 months,Kazakhstan,"
						      195,981
					"
Germany,"
						
						    80 %
					",Krapivna-The Rebirth of a Pearl of the Russian Province,"Krapivna, Tula Oblast, Russia",HEIMATBUND THURINGEN EV,"
						      250,000
					",123449,Culture and recreation,16061,24 months,Russia ,"
						      200,000
					"
Germany,"
						
						    75 %
					","Mobilisation against malaria: Cooperation for development
A campaign to raise public awareness for malaria  in Germany, Italy, Poland and Spain
","Locations: Germany, Poland, Spain, Italy.
Target groups: representatives of European health and development NGOs, private donors and supporters of European health and development NGOs;  local, regional, national and EU politicians in the field of health and development; journalists and media professionals.",DEUTSCHES MEDIKAMENTENHILFSWERK ACTION MEDEOR EV,"
						      548,601
					",136407,Promotion of development awareness,99820,24 months,EU Europe ,"
						      411,450
					"
Germany,"
						
						    75 %
					",Movilización social para la educación preescolar en el municipìo de Estelí,Municipio de Estelí en Nicaragua,WELTHAUS BIELEFELD EV,"
						      480,000
					",146102,Early childhood education,11240,36 months,Nicaragua,"
						      360,000
					"
Germany,"
						
						    75 %
					",Movilización social para la escolarización en el Municipio de Estelí,Municipio de Estelí en Nicaragua,GESUNDHEIT UND DRITTE WELT,"
						      480,000
					",145073,Primary education,11220,36 months,Nicaragua,"
						      360,000
					"
Germany,"
						
						    80 %
					",Non-Formal Skills Training in Rural areas of Kyrgyzstan,"Country (ies) : Kyrgyzstan
Region(s) : Chui, Osh, Issyk-Kul, Jalalabat, Batken, Naryn, Talas regions
",DEUTSCHER VOLKSHOCHSCHUL-VERBAND EV,"
						      188,935
					",125004,,92000,24 months,Kyrgyzstan,"
						      151,148
					"
Germany,"
						
						    75 %
					","ONE FOR ALL : Persons with Disabilities Self-Initiatives to Development (PSID)
","1) Rajshahi Division (North West Region) Nilphamari District, Sadar Sub-District; (2) Dhaka Division (Central Region), Dhaka District, Uttara Sub-District; (3) Gazipur District, Kaliakair Sub-District (4) Khulna Division (South West Region), Narail District, Sadar Sub-District; (5) Chittagong Division, (South East Region), Parbhato District, Rangamati Sadar Sub-District, and (6) Khagrachari District, Sadar Sub-District.",DIAKONISCHES WERK DER EVANGELISCHEN KIRCHE IN DEUTSCHLAN EV,"
						      996,600
					",134226,Democratic participation and civil society,15150,48 months,All Countries,"
						      746,600
					"
Germany,"
						
						    75 %
					","Offenders Beware!
Raising Awareness, Capacity and Motivation for the Protection of Children from Commercial Sexual Exploitation in Tourism (CST)
","Locations: Austria, Estonia,  Germany, Italy, The Netherlands.
Target groups: Workers of tourism companies and young people intending to do so as well as educators in tourism-related fields; key persons from European/national governments/ administrations/national/European tourism organisations and federations, workers'unions; decision makers in tourism sector; travellers and tourists, general public, media, trainers on protection of minors from CST (comercial sexual exploitation in tourism)",ECPAT DEUTSCHLAND E.V-ARBEITSGEMEINSCHAFT ZUM SCHUTZ DER KINDER VOR SEXUELLER AUSBEUTUNG,"
						      773,172
					",136665,Promotion of development awareness,99820,36 months,EU Europe ,"
						      579,879
					"
Germany,"
						
						    75 %
					",PEACE ¿ Project to establish European and Asian Co-operations of small and medium sized Enterprises,"Target groups are 62 SMEs from European, 60 SMEs from Malaysia and 70 SMEs from China in the environmental sector. The matchmaking events will be held in Xi¿an, China and Kuala Lumpur, Malaysia. ",HANDWERKSKAMMER DORTMUND,"
						      764,687
					",147497,Small and medium-sized enterprises (SME) development,32130,27 months,Asia,"
						      573,515
					"
Germany,"
						
						    80 %
					",Pilot project for the implementation of a modern care system in Karaganda Province,"the poject is  to be implemented in Kazakhstan in city of Karaganda and Karaganda province. Target groups are carrent and former employees of the Kazkh health and social services sector, medical professionals as well as administrative staff of NGO and regional administration in Karaganda Province. ",SOCIUS ORGANISATIONSBERATUNG GGMBH,"
						      245,010
					",141041,Social/ welfare services,16010,24 months,Kazakhstan,"
						      196,010
					"
Germany,"
						
						    74 %
					","Poverty reduction among subsistence rice farmers through the promotion of sustainable livelihood systems  in four districts of Takeo and Kampong Speu Provinces, Cambodia","The target group is 1,280 farmer representatives from 260 villages; 120 school teachers and 400 representatives of local authorities from 4 districts of Takeo and Kampong Speu provinces, Kingdom of Cambodia, South-East Asia.",EVANGELISCHE ZENTRALSTELLE FUR ENTWICKLUNGSHILFE  E.V.,"
						      598,780
					",133995,Food aid/Food security programmes,52010,36 months,Cambodia ,"
						      445,600
					"
Germany,"
						
						    75 %
					","Poverty reduction through self-help structures in conflict affected areas of Kashmir, India",Jammu & Kashmir State (Baramulla District),DEUTSCHE WELTHUNGERHILFE EV,"
						      160,000
					",133414,"Civilian peace-building, conflict prevention and resolution",15220,36 months,India,"
						      120,000
					"
Germany,"
						
						    80 %
					","Primary Health Care and Nutrition Services for Uprooted People in Northern Rakhine State, Myanmar","Myanmar, Northern Rakhine State, 32 village tracts in the Northern part of Maungdaw Township targeting approx. 132,000 people who are women, teen-age adolescent females and children 					
					",MALTESER HILFSDIENST EV,"
						     1,750,000
					",141810,Medical services,12191,36 months,Myanmar,"
						     1,400,000
					"
